ev,cvar,mstd,cvar_mstd,var,alpha
2.2988912555144125e-5,2.2988912555144125e-5,2.2986184601947457e-5,1.8714874094882816e-10,median,0.0
2.4813603096252024e-5,2.4813603096252024e-5,2.4813114622102006e-5,1.0542056116946696e-10,median,0.1
2.5669407234474306e-5,2.5669407234474306e-5,2.5669387990756576e-5,2.4044988222726715e-11,median,0.2
2.444686523039863e-5,2.444686523039863e-5,2.444491050934694e-5,1.4313883411887218e-11,median,0.3
2.8086796629356314e-5,2.8086796629356314e-5,2.8085230937113792e-5,9.39981426029135e-12,median,0.4
3.1747008690574674e-5,3.1747008690574674e-5,3.174583055232105e-5,4.501288231040235e-12,median,0.5
3.396704270186568e-5,3.396704270186568e-5,3.3977471992630015e-5,-3.829159211932165e-13,median,0.6
3.580360399646487e-5,3.580360399646487e-5,3.5816161823021275e-5,-3.7761826998661263e-10,median,0.7
3.764207522372054e-5,3.764207522372054e-5,3.765674354649917e-5,-4.569202793902605e-10,median,0.8
3.948243324813916e-5,3.948243324813916e-5,3.949919415213721e-5,-5.358795629462065e-10,median,0.9
4.13246536916656e-5,4.13246536916656e-5,4.1343489389333854e-5,-7.375166033440905e-10,median,1.0
4.316871099074859e-5,4.316871099074859e-5,4.813041221307657e-5,-1.1162302193667983e-9,median,1.1
4.501457841965539e-5,4.501457841965539e-5,5.571183199881702e-5,-1.4934791181531182e-9,median,1.2
4.686222816796537e-5,4.686222816796537e-5,6.325517335925568e-5,-7.044341113315866e-6,median,1.3
4.871163134190226e-5,4.871163134190226e-5,7.076073607947819e-5,-1.4879029036740654e-5,median,1.4
5.056275802450827e-5,5.056275802450827e-5,7.822881649088842e-5,-2.2692481839503564e-5,median,1.5
5.241557731605617e-5,5.8099665940947176e-5,8.565970752760776e-5,-2.7557681003709256e-5,median,1.6
5.4270057365357616e-5,6.64184590324357e-5,9.305369877354863e-5,-3.5152780768821223e-5,median,1.7
5.612616541328386e-5,7.469841915086484e-5,0.00010041107652059011,-4.311290219916053e-5,median,1.8
5.7983867825628366e-5,8.29399062243219e-5,0.00010773212381165465,-5.104084482154825e-5,median,1.9
5.984313013462916e-5,8.892271220783954e-5,0.0001150171204979955,-5.89366351749776e-5,median,2.0
6.17039170707212e-5,9.928948326609621e-5,0.00012226634328404984,-6.0386923762534295e-5,median,2.1
6.356619259828555e-5,0.00010743705860094543,0.00012948006577828686,-5.708206784327263e-5,median,2.2
6.542991995317493e-5,0.00011552816009907652,0.00013665855854250175,-5.377672053386018e-5,median,2.3
6.729506167224564e-5,0.00012358251926247732,0.00014380208913755688,-5.047084765741339e-5,median,2.4
6.916157962821856e-5,0.0001316004689064787,0.00015091092217178748,-4.7164415864831e-5,median,2.5
7.102943506276382e-5,0.00013958233755273497,0.00015798531934629878,-4.385739263901289e-5,median,2.6
7.289858861714293e-5,0.00014752844949361688,0.0001650255395027056,-4.054974629386088e-5,median,2.7
7.476900036373912e-5,0.00015543912485371791,0.00017203183866598692,-4.055325024754364e-5,median,2.8
7.664062983581132e-5,0.00016331467965113866,0.00017900447009067122,-4.1264681567176886e-5,median,2.9
7.851343605769223e-5,0.0001711554258563286,0.00018594368430435715,-4.196345355000908e-5,median,3.0
8.038737757321002e-5,0.00017896167145514674,0.00019284972914945797,-4.264960279709573e-5,median,3.1
8.226241247455413e-5,0.0001867337205045949,0.00019972284982761046,-4.332316653166135e-5,median,3.2
8.413849843091903e-5,0.00019447187319454606,0.0002065632889425295,-4.3984182585443676e-5,median,3.3
8.601559271270709e-5,0.00020217642590125706,0.00021337128653775572,-4.309830856508157e-5,median,3.4
8.789365222217072e-5,0.00020984767124776482,0.00022014708014106432,-4.1063693530629664e-5,median,3.5
8.977263351583886e-5,0.00021748589815895336,0.0002268909048019907,-3.9027826673421195e-5,median,3.6
9.165249283094035e-5,0.00022509139191551064,0.0002415279713208207,-3.9634639194541244e-5,median,3.7
9.353318611116102e-5,0.00023266443421054994,0.00025653089198307555,-4.321254205152947e-5,median,3.8
9.541466902907025e-5,0.0002402053032035667,0.00027148929677678346,-4.677401881625354e-5,median,3.9
9.729689701098998e-5,0.0002477142735717308,0.00028640320971495825,-5.031899344887236e-5,median,4.0
9.917982525875502e-5,0.0002551916165640655,0.0003012726555229328,-5.384739136993222e-5,median,4.1
0.00010106340877369391,0.0002626376000536279,0.00031609765962059555,-5.735913946280924e-5,median,4.2
0.00010294760237661293,0.00027005248858680275,0.0003308782481032946,-6.128793794812903e-5,median,4.3
0.00010483236073000057,0.000277436543435039,0.0003456144477245182,-6.756740227309432e-5,median,4.4
0.00010671763836000991,0.0002847900226454758,0.00036030628587879754,-7.381177199083933e-5,median,4.5
0.00010860338967444427,0.00029211318108779416,0.0003749537905826106,-8.002117502525774e-5,median,4.6
0.0001104895689827412,0.0002994062705032885,0.0003895569904595053,-8.619573978552175e-5,median,4.7
0.00011237613051728879,0.0003066695395539387,0.0004041159147223361,-9.215338782486704e-5,median,4.8
0.00011426302844985692,0.00031390323386770724,0.0004186305931563883,-9.718117430712603e-5,median,4.9
